name,area,carrier,type,parameter,year,value
SK electricity final use flow 2021,SK,electricity final use,inflow,flow,2021,26.9
SK electricity final use flow 2022,SK,electricity final use,inflow,flow,2022,26.9
SK electricity final use flow 2023,SK,electricity final use,inflow,flow,2023,26.9
SK electricity final use flow 2025,SK,electricity final use,inflow,flow,2025,29.7
SK electricity final use flow 2030,SK,electricity final use,inflow,flow,2030,33.4
SK electricity final use flow 2035,SK,electricity final use,inflow,flow,2035,36.5
SK electricity final use flow 2040,SK,electricity final use,inflow,flow,2040,39.2
SK electricity final use flow 2045,SK,electricity final use,inflow,flow,2045,41.0
SK electricity final use flow 2050,SK,electricity final use,inflow,flow,2050,42.5
SK hydrogen final use min_flow 2035,SK,hydrogen final use,inflow,min_flow,2035,1.9
SK hydrogen final use min_flow 2040,SK,hydrogen final use,inflow,min_flow,2040,3.2
SK hydrogen final use min_flow 2045,SK,hydrogen final use,inflow,min_flow,2045,3.9
SK hydrogen final use min_flow 2050,SK,hydrogen final use,inflow,min_flow,2050,3.4
